epoch,acc,loss,lr
0,0.6473684216800489,1.4527229698080766,0.001
1,0.743093921334704,1.2676748228336565,0.001
2,0.7817679538252604,1.1019072440447728,0.001
3,0.8618784569903631,0.94962187234868,0.001
4,0.859116015513299,0.9111275824394015,0.001
5,0.9585635293254536,0.6951113116016704,0.001
6,0.9668508208259035,0.6521426482095244,0.001
7,0.9723756840215863,0.5802912178619132,0.001
8,0.9696132557168191,0.5861186316000164,0.001
9,0.9502762351905444,0.6133187439560231,0.001
10,0.9558011010206865,0.5876974634702693,0.001
11,0.9917127052064758,0.48475738289606507,0.001
12,0.9972375684021586,0.4476245605484557,0.001
13,0.9917127052064758,0.4330494463114449,0.001
14,0.9944751368043172,0.4113819319240296,0.001
15,0.9558011010206865,0.4979216367500263,0.001
16,0.9475138062271624,0.4861927164193675,0.001
17,0.9889502736086345,0.41092160064212524,0.001
18,0.9751381156194275,0.41813802093432095,0.001
19,0.9779005472172689,0.4115222066805508,0.001
20,0.9789473634017142,0.3798903932696895,0.001
21,0.8563535937946805,0.7434853822486835,0.001
22,0.9585635260323793,0.48382297191172013,0.001
23,0.9668508254362075,0.4536278303815515,0.001
24,0.9723756840215863,0.4113813908719226,0.001
